Feature,Importance,timestamp
cat__importer_Importer_324,0.0020033375,2025-05-12 22:09:03
cat__importer_Importer_281,0.0019964513,2025-05-12 22:09:03
cat__importer_Importer_140,0.0019938925,2025-05-12 22:09:03
cat__importer_Importer_797,0.0019935982,2025-05-12 22:09:03
cat__importer_Importer_400,0.0019924203,2025-05-12 22:09:03
cat__importer_Importer_946,0.001972035,2025-05-12 22:09:03
cat__importer_Importer_193,0.001960768,2025-05-12 22:09:03
cat__importer_Importer_109,0.0019538982,2025-05-12 22:09:03
cat__importer_Importer_847,0.0019503076,2025-05-12 22:09:03
cat__importer_Importer_922,0.0019296791,2025-05-12 22:09:03
cat__importer_Importer_723,0.0019271782,2025-05-12 22:09:03
cat__importer_Importer_439,0.0019261434,2025-05-12 22:09:03
cat__importer_Importer_81,0.0019228243,2025-05-12 22:09:03
cat__importer_Importer_17,0.0019203316,2025-05-12 22:09:03
cat__importer_Importer_440,0.0019195663,2025-05-12 22:09:03
cat__importer_Importer_332,0.0019133626,2025-05-12 22:09:03
cat__importer_Importer_448,0.0019060847,2025-05-12 22:09:03
cat__importer_Importer_902,0.0018923464,2025-05-12 22:09:03
cat__importer_Importer_270,0.0018813187,2025-05-12 22:09:03
cat__importer_Importer_565,0.0018810568,2025-05-12 22:09:03
cat__importer_Importer_341,0.0018800491,2025-05-12 22:09:03
cat__importer_Importer_216,0.0018788385,2025-05-12 22:09:03
cat__importer_Importer_851,0.0018780637,2025-05-12 22:09:03
cat__importer_Importer_983,0.0018611113,2025-05-12 22:09:03
cat__importer_Importer_756,0.0018593897,2025-05-12 22:09:03
cat__importer_Importer_225,0.001851372,2025-05-12 22:09:03
cat__importer_Importer_872,0.0018501036,2025-05-12 22:09:03
cat__importer_Importer_2,0.0018487707,2025-05-12 22:09:03
cat__importer_Importer_243,0.0018475164,2025-05-12 22:09:03
cat__importer_Importer_177,0.0018469547,2025-05-12 22:09:03
cat__importer_Importer_842,0.0018464007,2025-05-12 22:09:03
cat__importer_Importer_310,0.0018441259,2025-05-12 22:09:03
cat__importer_Importer_759,0.0018413309,2025-05-12 22:09:03
cat__importer_Importer_825,0.0018386294,2025-05-12 22:09:03
cat__importer_Importer_371,0.0018380078,2025-05-12 22:09:03
cat__importer_Importer_204,0.0018284884,2025-05-12 22:09:03
num__tax_discrepancy,0.0018034725,2025-05-12 22:09:03
cat__importer_Importer_694,0.0017880955,2025-05-12 22:09:03
cat__importer_Importer_774,0.0017828869,2025-05-12 22:09:03
cat__importer_Importer_137,0.0017801502,2025-05-12 22:09:03
cat__importer_Importer_390,0.0017776564,2025-05-12 22:09:03
cat__importer_Importer_318,0.0017556107,2025-05-12 22:09:03
